State,Year,Deaths,Mort_age_std,NO2,PM10,Population,Mort_per_100k
Baden-Württemberg,2019,7314,60.7,28.724137931034484,16.224390243902437,11230740,65.12482703722105
Baden-Württemberg,2020,6691,54.2,24.557377049180328,14.481578947368421,11230740,59.577552325136196
Baden-Württemberg,2021,6114,49.1,23.20344827586207,13.857894736842105,11230740,54.43986772020365
Baden-Württemberg,2022,7372,58.8,21.332608695652173,14.789473684210526,11230740,65.64126673754356
Baden-Württemberg,2023,8107,63.6,18.914893617021278,12.421052631578947,11230740,72.18580431921671
Bavaria,2019,9634,68.3,22.130434782608695,16.2125,13176426,73.11542598880759
Bavaria,2020,8578,59.5,19.17391304347826,14.91875,13176426,65.10111315465969
Bavaria,2021,7666,52.2,18.41063829787234,14.845454545454546,13176426,58.17966116153197
Bavaria,2022,9313,63.9,17.777083333333334,14.942424242424243,13176426,70.67925703070013
Bavaria,2023,9811,66.3,16.291666666666668,13.26969696969697,13176426,74.45873410589488
Berlin,2019,2818,77.2,31.208333333333332,19.636363636363637,3662381,76.94447956124718
Berlin,2020,2601,70.1,25.916666666666668,17.818181818181817,3662381,71.01937237005107
Berlin,2021,2409,64,24.752,19.545454545454547,3662381,65.77688121470705
Berlin,2022,2842,76.3,23.146153846153847,19.25,3662381,77.59979095566518
Berlin,2023,3050,80.5,21.95769230769231,16.166666666666668,3662381,83.27915637395455
Brandenburg,2019,2096,63.9,15.695652173913043,17.043478260869566,2554464,82.05243839803575
Brandenburg,2020,2015,60.1,13.958333333333334,14.08,2554464,78.88151878437121
Brandenburg,2021,1924,57.1,13.572,14.84,2554464,75.31912761346412
Brandenburg,2022,2170,63.7,12.903846153846153,15.96,2554464,84.94932792163053
Brandenburg,2023,2354,68.2,10.723076923076922,14.188461538461539,2554464,92.15240457489321
Bremen,2019,614,79.8,22.5,18,702655,87.38285502842788
Bremen,2020,515,66.5,19.5,16.125,702655,73.29343703524489
Bremen,2021,464,59.7,19.875,16.125,702655,66.03525200845365
Bremen,2022,563,73.6,19,16.875,702655,80.12467000163666
Bremen,2023,610,78.2,16.625,14.125,702655,86.81358561456192
Hamburg,2019,1223,67.4,27.4,19,1851596,66.05112562351614
Hamburg,2020,1224,66.4,25.5,16.444444444444443,1851596,66.10513308518705
Hamburg,2021,1306,69.5,24.666666666666668,16.333333333333332,1851596,70.53374494220122
Hamburg,2022,1417,77,23.383333333333333,17.444444444444443,1851596,76.52857318767161
Hamburg,2023,1525,82,21.958333333333332,14.777777777777779,1851596,82.3613790481293
Hesse,2019,5373,77.8,29.2,15.693939393939393,6267546,85.72733251578848
Hesse,2020,4621,65.5,24.140350877192983,14.32121212121212,6267546,73.7290161093353
Hesse,2021,4215,58.9,24.084848484848486,14.32121212121212,6267546,67.25120166648956
Hesse,2022,4962,70.3,22.722535211267605,14.511764705882353,6267546,79.16974203300622
Hesse,2023,5071,71.1,19.934426229508198,12.879411764705882,6267546,80.90885970362244
Lower Saxony,2019,7447,79.9,21.944444444444443,14.76206896551724,8008135,92.99293780636815
Lower Saxony,2020,7074,74.6,19.384615384615383,12.771428571428572,8008135,88.33517416976612
Lower Saxony,2021,6746,70.1,19.53076923076923,13.742857142857142,8008135,84.23933912203029
Lower Saxony,2022,7701,80,18.861538461538462,14.239285714285714,8008135,96.16471250796846
Lower Saxony,2023,8339,86,15.282857142857143,12.457142857142857,8008135,104.13161116789365
Mecklenburg-Western Pomerania,2019,1381,67.3,14.133333333333333,17.1875,1578041,87.51356903908074
Mecklenburg-Western Pomerania,2020,1133,52.6,12.214285714285714,14.75,1578041,71.79788104364842
Mecklenburg-Western Pomerania,2021,1122,51.3,11.7,15.0625,1578041,71.1008142373994
Mecklenburg-Western Pomerania,2022,1359,62.2,11.273333333333333,15.3125,1578041,86.11943542658271
Mecklenburg-Western Pomerania,2023,1489,67.4,10.3,12.941176470588236,1578041,94.35749768225287
North Rhine-Westphalia,2019,15474,76.1,31.391666666666666,17.92923076923077,18017520,85.88307380816006
North Rhine-Westphalia,2020,14029,68.1,26.572649572649574,16.868253968253967,18017520,77.86310213614304
North Rhine-Westphalia,2021,13013,62.4,27.553076923076922,17.15076923076923,18017520,72.22414627540304
North Rhine-Westphalia,2022,15856,76,26.675,17.3765625,18017520,88.0032324093438
North Rhine-Westphalia,2023,17333,83,23.953787878787878,14.518309859154929,18017520,96.2008089903605
Rhineland-Palatinate,2019,3440,72.2,21.51851851851852,15.731578947368421,4125163,83.39064419999889
Rhineland-Palatinate,2020,3140,64.5,18.296296296296298,14.327777777777778,4125163,76.11820429883619
Rhineland-Palatinate,2021,3017,61.5,24.61304347826087,14.222222222222221,4125163,73.13650393935949
Rhineland-Palatinate,2022,3454,70.9,23.48358208955224,15.16842105263158,4125163,83.73002472871981
Rhineland-Palatinate,2023,3665,74.3,20.8421875,12.991666666666667,4125163,88.8449741258709
Saarland,2019,766,62,20.444444444444443,16,1014047,75.5389050014447
Saarland,2020,879,69.2,17.444444444444443,13.75,1014047,86.68237271053512
Saarland,2021,869,67.6,16.7,13.75,1014047,85.69622512565986
Saarland,2022,1007,76.8,16.2625,15,1014047,99.3050617969384
Saarland,2023,1097,83.5,13.6375,12.857142857142858,1014047,108.18039006081571
Saxony,2019,3023,53.9,17.791666666666668,15.25,4054689,74.55565642642382
Saxony,2020,2841,49.3,15.208333333333334,13.6,4054689,70.06702610237186
Saxony,2021,2547,44.4,15.295652173913043,13.8,4054689,62.816161732749414
Saxony,2022,2890,50.3,14.343478260869565,14.160869565217391,4054689,71.27550349730892
Saxony,2023,3083,53.1,12.68695652173913,11.560869565217391,4054689,76.03542466512229
Saxony-Anhalt,2019,1667,54.7,15.727272727272727,16,2144570,77.73120019397828
Saxony-Anhalt,2020,1638,52.9,13.772727272727273,15.3,2144570,76.37894776108963
Saxony-Anhalt,2021,1517,48.8,13.669565217391304,15.560869565217391,2144570,70.73679105834736
Saxony-Anhalt,2022,1874,60.9,12.76086956521739,15.565217391304348,2144570,87.38348480114895
Saxony-Anhalt,2023,1997,63.5,10.952173913043477,13.278260869565218,2144570,93.1189002923663
Schleswig-Holstein,2019,2639,75.7,24.857142857142858,17.555555555555557,2953202,89.36063296719966
Schleswig-Holstein,2020,2401,67,21.071428571428573,14.6,2953202,81.3015838401843
Schleswig-Holstein,2021,2285,62.5,20.37857142857143,14,2953202,77.37364392953818
Schleswig-Holstein,2022,2532,67.9,19.357142857142858,14.7,2953202,85.73744701513814
Schleswig-Holstein,2023,2737,73.6,17.935714285714287,12.7,2953202,92.67906496067657
